Date,Price,Open,High,Low,Vol.,Change %
1/19/2023,1412.00,1412.00,1412.00,1412.00,,-0.01
1/18/2023,1421.00,1421.00,1421.00,1421.00,,0.00
1/17/2023,1427.00,1427.00,1427.00,1427.00,,-0.01
1/16/2023,1445.00,1445.00,1445.00,1445.00,,0.00
1/13/2023,1445.00,1445.00,1445.00,1445.00,,0.00
1/12/2023,1441.00,1441.00,1441.00,1441.00,,0.01
1/11/2023,1427.00,1427.00,1427.00,1427.00,,0.00
1/10/2023,1423.00,1423.00,1423.00,1423.00,,0.02
1/9/2023,1392.00,1392.00,1392.00,1392.00,,0.00
1/6/2023,1391.00,1391.00,1391.00,1391.00,,0.00
1/5/2023,1396.00,1396.00,1396.00,1396.00,,-0.02
1/4/2023,1430.00,1430.00,1430.00,1430.00,,-0.02
1/3/2023,1465.00,1465.00,1465.00,1465.00,,-0.22
12/23/2022,1873.00,1873.00,1873.00,1873.00,,-0.01
12/22/2022,1887.00,1887.00,1887.00,1887.00,,-0.02
12/21/2022,1921.00,1921.00,1921.00,1921.00,,-0.02
12/20/2022,1951.00,1951.00,1951.00,1951.00,,-0.05
12/19/2022,2043.00,2043.00,2043.00,2043.00,,-0.02
12/16/2022,2078.00,2078.00,2078.00,2078.00,,-0.01
12/15/2022,2092.00,2092.00,2092.00,2092.00,,0.01
12/14/2022,2079.00,2079.00,2079.00,2079.00,,0.00
12/13/2022,2086.00,2086.00,2086.00,2086.00,,-0.01
12/12/2022,2106.00,2106.00,2106.00,2106.00,,0.00
12/9/2022,2110.00,2110.00,2110.00,2110.00,,0.01
12/8/2022,2089.00,0.00,0.00,0.00,,0.00
12/7/2022,2095.00,2095.00,2095.00,2095.00,,-0.01
12/6/2022,2112.00,2112.00,2112.00,2112.00,,-0.04
12/5/2022,2196.00,2196.00,2196.00,2196.00,,-0.01
12/2/2022,2220.00,2220.00,2220.00,2220.00,,-0.02
12/1/2022,2260.00,2260.00,2260.00,2260.00,,-0.04
11/30/2022,2353.00,2353.00,2353.00,2353.00,,-0.03
11/29/2022,2433.00,2433.00,2433.00,2433.00,,-0.01
11/28/2022,2468.00,2468.00,2468.00,2468.00,,-0.01
11/25/2022,2494.00,2494.00,2494.00,2494.00,,0.00
11/24/2022,2487.00,2487.00,2487.00,2487.00,,0.00
11/23/2022,2495.00,2495.00,2495.00,2495.00,,0.00
11/22/2022,2496.00,2496.00,2496.00,2496.00,,0.02
11/21/2022,2459.00,2459.00,2459.00,2459.00,,0.04
11/18/2022,2365.00,2365.00,2365.00,2365.00,,0.08
11/17/2022,2197.00,2197.00,2197.00,2197.00,,0.08
11/16/2022,2033.00,2033.00,2033.00,2033.00,,0.04
11/15/2022,1961.00,1961.00,1961.00,1961.00,,0.03
11/14/2022,1906.00,1906.00,1906.00,1906.00,,0.01
11/11/2022,1894.00,1894.00,1894.00,1894.00,,0.00
11/10/2022,1885.00,1885.00,1885.00,1885.00,,0.01
11/9/2022,1874.00,1874.00,1874.00,1874.00,,0.01
11/8/2022,1857.00,1857.00,1857.00,1857.00,,0.01
11/7/2022,1842.00,1842.00,1842.00,1842.00,,0.00
11/4/2022,1836.00,1836.00,1836.00,1836.00,,0.00
11/3/2022,1828.00,1828.00,1828.00,1828.00,,0.00
11/2/2022,1819.00,1819.00,1819.00,1819.00,,0.00
11/1/2022,1811.00,1811.00,1811.00,1811.00,,-0.01
10/31/2022,1827.00,1827.00,1827.00,1827.00,,0.00
10/28/2022,1823.00,1823.00,1823.00,1823.00,,0.00
10/27/2022,1816.00,1816.00,1816.00,1816.00,,0.01
10/26/2022,1804.00,1804.00,1804.00,1804.00,,0.01
10/25/2022,1793.00,1793.00,1793.00,1793.00,,0.00
10/24/2022,1791.00,1791.00,1791.00,1791.00,,0.03
10/21/2022,1737.00,1737.00,1737.00,1737.00,,0.01
10/20/2022,1725.00,1725.00,1725.00,1725.00,,0.01
10/19/2022,1710.00,1710.00,1710.00,1710.00,,0.01
10/18/2022,1693.00,1693.00,1693.00,1693.00,,0.04
10/17/2022,1621.00,1621.00,1621.00,1621.00,,0.04
10/14/2022,1554.00,1554.00,1554.00,1554.00,,0.03
10/13/2022,1514.00,1514.00,1514.00,1514.00,,0.02
10/12/2022,1481.00,1481.00,1481.00,1481.00,,0.01
10/11/2022,1465.00,1465.00,1465.00,1465.00,,0.00
10/10/2022,1459.00,1459.00,1459.00,1459.00,,0.00
10/7/2022,1461.00,1461.00,1461.00,1461.00,,0.00
10/6/2022,1461.00,1461.00,1461.00,1461.00,,0.00
